state_abbr,state_fips,county_name,is_metro,county_code,pop2023,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
IL,17,Warren,0,187,16760,632.00,698.00,916.00,1156.00,1537.00
IN,18,Warren,1,171,8454,688.00,845.00,956.00,1330.00,1376.00
IA,19,Warren,1,181,52709,1063.00,1109.00,1318.00,1794.00,1841.00
KY,21,Warren,1,227,135307,889.00,985.00,1153.00,1384.00,1806.00
MS,28,Warren,0,149,44341,800.00,805.00,953.00,1181.00,1336.00
MO,29,Warren,1,219,35729,955.00,995.00,1218.00,1568.00,1812.00
NJ,34,Warren,1,041,109739,1517.00,1527.00,1895.00,2404.00,2800.00
NY,36,Warren,1,113,65684,1041.00,1066.00,1348.00,1742.00,1785.00
NC,37,Warren,0,185,18803,700.00,705.00,925.00,1172.00,1239.00
OH,39,Warren,1,165,243189,958.00,1051.00,1353.00,1785.00,1976.00
PA,42,Warren,0,123,38492,809.00,814.00,973.00,1304.00,1363.00
TN,47,Warren,0,177,41163,730.00,735.00,964.00,1156.00,1276.00
VA,51,Warren,1,187,40800,953.00,1002.00,1315.00,1754.00,2206.00
IN,18,Warrick,1,173,64065,853.00,860.00,1113.00,1370.00,1539.00
UT,49,Wasatch,0,051,35009,1277.00,1594.00,1747.00,2430.00,2931.00
OR,41,Wasco,0,065,26639,1281.00,1289.00,1600.00,2225.00,2589.00
MN,27,Waseca,0,161,18953,677.00,742.00,973.00,1353.00,1495.00
WY,56,Washakie,0,043,7725,729.00,734.00,963.00,1339.00,1590.00
WI,55,Washburn,0,129,16685,672.00,743.00,975.00,1169.00,1291.00
AL,01,Washington,0,129,15434,729.00,818.00,983.00,1292.00,1314.00
AR,05,Washington,1,143,247331,1007.00,1115.00,1347.00,1873.00,2213.00
CO,08,Washington,0,121,4817,854.00,856.00,1114.00,1336.00,1475.00
FL,12,Washington,1,133,25014,866.00,928.00,1017.00,1257.00,1603.00
GA,13,Washington,0,303,19975,792.00,797.00,999.00,1198.00,1329.00
ID,16,Washington,0,087,10612,853.00,859.00,1127.00,1471.00,1891.00
IL,17,Washington,0,189,13781,632.00,836.00,916.00,1242.00,1268.00
IN,18,Washington,1,175,28133,749.00,753.00,988.00,1185.00,1308.00
IA,19,Washington,1,183,22534,728.00,733.00,962.00,1191.00,1274.00
KS,20,Washington,0,201,5529,696.00,701.00,877.00,1157.00,1161.00
KY,21,Washington,0,229,12025,664.00,708.00,929.00,1226.00,1323.00
ME,23,Washington,0,029,1077,863.00,954.00,1252.00,1739.00,1943.00
MD,24,Washington,1,043,154645,869.00,961.00,1261.00,1700.00,1901.00
MN,27,Washington,1,163,268651,1242.00,1405.00,1709.00,2262.00,2531.00
MS,28,Washington,0,151,44604,648.00,768.00,842.00,1177.00,1412.00
MO,29,Washington,0,221,23580,660.00,774.00,888.00,1065.00,1276.00
NE,31,Washington,1,177,20884,1090.00,1148.00,1368.00,1813.00,2046.00
NY,36,Washington,1,115,61310,1041.00,1066.00,1348.00,1742.00,1785.00
NC,37,Washington,0,187,11051,739.00,744.00,925.00,1197.00,1391.00
OH,39,Washington,0,167,59639,756.00,760.00,973.00,1313.00,1449.00
OK,40,Washington,0,147,52579,712.00,801.00,947.00,1317.00,1340.00
OR,41,Washington,1,067,599541,1570.00,1677.00,1922.00,2619.00,3109.00
PA,42,Washington,1,125,209631,1001.00,1077.00,1299.00,1661.00,1789.00
TN,47,Washington,1,179,133282,887.00,893.00,1132.00,1398.00,1548.00
TX,48,Washington,0,477,35807,991.00,998.00,1309.00,1692.00,1733.00
UT,49,Washington,1,053,183297,1210.00,1218.00,1575.00,2072.00,2624.00
VA,51,Washington,1,191,53985,720.00,818.00,1044.00,1338.00,1464.00
WI,55,Washington,1,131,136842,1027.00,1119.00,1338.00,1648.00,1784.00
LA,22,Washington Parish,0,117,45514,727.00,761.00,834.00,1160.00,1388.00
OK,40,Washita,0,149,10930,705.00,855.00,937.00,1217.00,1439.00
NV,32,Washoe,1,031,486674,1289.00,1489.00,1870.00,2539.00,2949.00
MI,26,Washtenaw,1,161,370231,1365.00,1387.00,1656.00,1986.00,2193.00
NC,37,Watauga,0,189,54540,822.00,988.00,1177.00,1504.00,1974.00
MN,27,Watonwan,0,165,11205,671.00,842.00,973.00,1283.00,1288.00
WI,55,Waukesha,1,133,407290,1027.00,1119.00,1338.00,1648.00,1784.00
WI,55,Waupaca,0,135,51822,764.00,779.00,973.00,1283.00,1288.00
WI,55,Waushara,0,137,24672,691.00,742.00,973.00,1291.00,1493.00
GA,13,Wayne,0,305,30277,773.00,778.00,1021.00,1224.00,1574.00
IL,17,Wayne,0,191,16127,632.00,698.00,916.00,1098.00,1537.00
IN,18,Wayne,0,177,66522,724.00,729.00,956.00,1191.00,1266.00
IA,19,Wayne,0,185,6484,682.00,734.00,919.00,1193.00,1227.00
KY,21,Wayne,0,231,19666,619.00,677.00,866.00,1204.00,1453.00
MI,26,Wayne,1,163,1781641,1009.00,1122.00,1411.00,1724.00,1868.00
MS,28,Wayne,0,153,19760,708.00,713.00,842.00,1098.00,1118.00
MO,29,Wayne,0,223,11081,660.00,810.00,888.00,1065.00,1490.00
NE,31,Wayne,0,179,9701,666.00,732.00,961.00,1278.00,1612.00
NY,36,Wayne,1,117,91324,1116.00,1256.00,1573.00,1895.00,2083.00
NC,37,Wayne,1,191,117480,942.00,948.00,1244.00,1496.00,2021.00
OH,39,Wayne,0,169,116680,718.00,816.00,1041.00,1269.00,1491.00
