state,state_abbr,state_fips,county_code,msa_code,county_name,adult_1_children_0,adult_1_children_1,adult_1_children_2,adult_1_children_3,adults_2_children_0,adults_2_children_1,adults_2_children_3
Arkansas,AR,05,011,0500004,Bradley,3844,5639,8449,11245,7047,8746,11250
Arkansas,AR,05,013,0500004,Calhoun,3786,5553,8321,11074,6940,8613,11079
Arkansas,AR,05,015,0500001,Carroll,4054,5948,8911,11860,7433,9225,11865
Arkansas,AR,05,017,0500004,Chicot,3984,5845,8757,11655,7304,9065,11660
Arkansas,AR,05,019,0500003,Clark,3891,5708,8552,11382,7133,8853,11387
Arkansas,AR,05,021,0500002,Clay,3657,5365,8038,10698,6705,8321,10703
Arkansas,AR,05,023,0500001,Cleburne,4043,5930,8885,11826,7411,9198,11831
Arkansas,AR,05,025,0500004,Cleveland,3715,5450,8166,10869,6812,8454,10874
Arkansas,AR,05,027,0500004,Columbia,3937,5776,8654,11518,7219,8959,11523
Arkansas,AR,05,029,0500003,Conway,3786,5553,8321,11074,6940,8613,11079
Arkansas,AR,05,031,27860,Craighead,3914,5742,8603,11450,7176,8906,11455
Arkansas,AR,05,033,22900,Crawford,3891,5708,8552,11382,7133,8853,11387
Arkansas,AR,05,035,32820,Crittenden,3937,5776,8654,11518,7219,8959,11523
Arkansas,AR,05,037,0500002,Cross,3645,5348,8012,10664,6683,8294,10669
Arkansas,AR,05,039,0500004,Dallas,3809,5588,8372,11142,6983,8666,11147
Arkansas,AR,05,041,0500004,Desha,3937,5776,8654,11518,7219,8959,11523
Arkansas,AR,05,043,0500004,Drew,3739,5485,8218,10937,6855,8507,10942
Arkansas,AR,05,045,30780,Faulkner,4078,5982,8963,11928,7476,9278,11934
Arkansas,AR,05,047,0500003,Franklin,3751,5502,8243,10971,6876,8534,10976
Arkansas,AR,05,049,0500001,Fulton,3844,5639,8449,11245,7047,8746,11250
Arkansas,AR,05,051,26300,Garland,4066,5965,8937,11894,7454,9251,11900
Arkansas,AR,05,053,30780,Grant,4265,6256,9373,12475,7818,9703,12481
Arkansas,AR,05,055,0500002,Greene,3739,5485,8218,10937,6855,8507,10942
Arkansas,AR,05,057,0500004,Hempstead,3984,5845,8757,11655,7304,9065,11660
Arkansas,AR,05,059,0500003,Hot Spring,3751,5502,8243,10971,6876,8534,10976
Arkansas,AR,05,061,0500004,Howard,3984,5845,8757,11655,7304,9065,11660
Arkansas,AR,05,063,0500001,Independence,3879,5690,8526,11347,7112,8826,11353
Arkansas,AR,05,065,0500001,Izard,4078,5982,8963,11928,7476,9278,11934
Arkansas,AR,05,067,0500001,Jackson,3902,5725,8577,11416,7154,8879,11421
Arkansas,AR,05,069,0500004,Jefferson,3704,5433,8141,10835,6790,8427,10840
Arkansas,AR,05,071,0500003,Johnson,3762,5519,8269,11006,6897,8560,11011
Arkansas,AR,05,073,0500004,Lafayette,3926,5759,8629,11484,7197,8932,11489
Arkansas,AR,05,075,0500002,Lawrence,3973,5828,8731,11621,7283,9039,11626
Arkansas,AR,05,077,0500002,Lee,3575,5245,7858,10459,6555,8135,10463
Arkansas,AR,05,079,0500004,Lincoln,3727,5468,8192,10903,6833,8480,10908
Arkansas,AR,05,081,45500,Little River,3902,5725,8577,11416,7154,8879,11421
Arkansas,AR,05,083,0500003,Logan,3751,5502,8243,10971,6876,8534,10976
Arkansas,AR,05,085,30780,Lonoke,4101,6016,9014,11997,7519,9331,12002
Arkansas,AR,05,087,22220,Madison,4054,5948,8911,11860,7433,9225,11865
Arkansas,AR,05,089,0500001,Marion,4136,6067,9091,12099,7583,9411,12105
Arkansas,AR,05,091,45500,Miller,3996,5862,8783,11689,7326,9092,11694
Arkansas,AR,05,093,0500002,Mississippi,3786,5553,8321,11074,6940,8613,11079
Arkansas,AR,05,095,0500002,Monroe,3540,5193,7781,10356,6490,8055,10361
Arkansas,AR,05,097,0500003,Montgomery,4124,6050,9065,12065,7561,9384,12071
Arkansas,AR,05,099,0500004,Nevada,3914,5742,8603,11450,7176,8906,11455
Arkansas,AR,05,101,0500001,Newton,4019,5896,8834,11758,7369,9145,11763
Arkansas,AR,05,103,0500004,Ouachita,3821,5605,8398,11177,7005,8693,11182
Arkansas,AR,05,105,30780,Perry,3821,5605,8398,11177,7005,8693,11182
Arkansas,AR,05,107,0500002,Phillips,3797,5570,8346,11108,6962,8640,11113
Arkansas,AR,05,109,0500003,Pike,3914,5742,8603,11450,7176,8906,11455
Arkansas,AR,05,111,27860,Poinsett,3610,5296,7935,10561,6619,8214,10566
Arkansas,AR,05,113,0500003,Polk,3902,5725,8577,11416,7154,8879,11421
Arkansas,AR,05,115,0500003,Pope,3867,5673,8500,11313,7090,8799,11318
Arkansas,AR,05,117,0500002,Prairie,4101,6016,9014,11997,7519,9331,12002
Arkansas,AR,05,119,30780,Pulaski,4195,6153,9219,12270,7690,9544,12276
Arkansas,AR,05,121,0500002,Randolph,3739,5485,8218,10937,6855,8507,10942
Arkansas,AR,05,125,0500002,Saline,4230,6205,9296,12373,7754,9623,12378
Arkansas,AR,05,127,30780,Scott,3751,5502,8243,10971,6876,8534,10976
Arkansas,AR,05,129,0500003,Searcy,4124,6050,9065,12065,7561,9384,12071
Arkansas,AR,05,131,0500001,Sebastian,3856,5656,8475,11279,7069,8773,11284
Arkansas,AR,05,133,22900,Sevier,3949,5793,8680,11553,7240,8985,11558
Arkansas,AR,05,135,0500004,Sharp,3891,5708,8552,11382,7133,8853,11387
Arkansas,AR,05,123,0500001,Saint Francis,3645,5348,8012,10664,6683,8294,10669
Arkansas,AR,05,137,0500001,Stone,4043,5930,8885,11826,7411,9198,11831
Arkansas,AR,05,139,0500004,Union,3902,5725,8577,11416,7154,8879,11421
Arkansas,AR,05,141,0500001,Van Buren,4043,5930,8885,11826,7411,9198,11831
Arkansas,AR,05,143,22220,Washington,4195,6153,9219,12270,7690,9544,12276
Arkansas,AR,05,145,0500001,White,3867,5673,8500,11313,7090,8799,11318
Arkansas,AR,05,147,0500001,Woodruff,3879,5690,8526,11347,7112,8826,11353
Arkansas,AR,05,149,0500003,Yell,3669,5382,8064,10732,6726,8347,10737
California,CA,06,001,41860,Alameda,5083,7456,11171,14868,9318,11564,14875
California,CA,06,003,0600006,Alpine,4580,6719,10067,13398,8397,10421,13404
California,CA,06,005,0600006,Amador,5118,7507,11248,14970,9382,11644,14977
California,CA,06,007,17020,Butte,4685,6873,10298,13706,8590,10660,13712
California,CA,06,009,0600006,Calaveras,5363,7867,11787,15688,9832,12202,15695
California,CA,06,011,0600007,Colusa,4592,6736,10092,13432,8418,10448,13438
California,CA,06,013,41860,Contra Costa,5036,7387,11068,14731,9232,11458,14738
California,CA,06,015,0600003,Del Norte,4498,6599,9887,13159,8247,10235,13165
California,CA,06,017,40900,El Dorado,5573,8176,12250,16303,10218,12681,16311
California,CA,06,019,23420,Fresno,4101,6016,9014,11997,7519,9331,12002
California,CA,06,021,0600007,Glenn,4078,5982,8963,11928,7476,9278,11934
California,CA,06,023,0600003,Humboldt,5153,7559,11325,15073,9446,11724,15080
California,CA,06,025,20940,Imperial,3575,5245,7858,10459,6555,8135,10463
California,CA,06,027,0600006,Inyo,4066,5965,8937,11894,7454,9251,11900
California,CA,06,029,12540,Kern,4043,5930,8885,11826,7411,9198,11831
California,CA,06,031,25260,Kings,3984,5845,8757,11655,7304,9065,11660
California,CA,06,033,0600003,Lake,4861,7130,10683,14218,8911,11059,14225
California,CA,06,035,0600007,Lassen,4802,7044,10555,14048,8804,10926,14054
California,CA,06,037,31080,Los Angeles,4463,6547,9810,13056,8183,10155,13062
California,CA,06,039,23420,Madera,4849,7113,10657,14184,8890,11032,14191
California,CA,06,041,41860,Marin,6157,9033,13534,18012,11289,14010,18020
California,CA,06,043,0600006,Mariposa,4849,7113,10657,14184,8890,11032,14191
California,CA,06,045,0600003,Mendocino,4942,7250,10863,14458,9061,11245,14464
California,CA,06,047,32900,Merced,4195,6153,9219,12270,7690,9544,12276
California,CA,06,049,0600007,Modoc,4802,7044,10555,14048,8804,10926,14054
California,CA,06,051,0600006,Mono,4942,7250,10863,14458,9061,11245,14464
California,CA,06,053,41500,Monterey,4393,6445,9656,12851,8054,9996,12857
California,CA,06,055,34900,Napa,5386,7901,11839,15757,9875,12255,15764
