state_fips,state,state_abbr,msa_code,metro_name
27,Minnesota,MN,33460,Minneapolis-Saint Paul-Bloomington
27,Minnesota,MN,41060,Saint Cloud
27,Minnesota,MN,20260,Duluth
27,Minnesota,MN,31860,Mankato
27,Minnesota,MN,40340,Rochester
28,Mississippi,MS,27140,Jackson
28,Mississippi,MS,25060,Gulfport-Biloxi
28,Mississippi,MS,25620,Hattiesburg
29,Missouri,MO,27900,Joplin
29,Missouri,MO,44180,Springfield
29,Missouri,MO,27620,Jefferson City
29,Missouri,MO,28140,Kansas City
29,Missouri,MO,41140,Saint Joseph
29,Missouri,MO,17860,Columbia
29,Missouri,MO,41180,Saint Louis
29,Missouri,MO,16020,Cape Girardeau
30,Montana,MT,25740,Helena
30,Montana,MT,13740,Billings
30,Montana,MT,14580,Bozeman
30,Montana,MT,33540,Missoula
30,Montana,MT,24500,Great Falls
31,Nebraska,NE,36540,Omaha
31,Nebraska,NE,30700,Lincoln
31,Nebraska,NE,24260,Grand Island
32,Nevada,NV,29820,Las Vegas-Henderson-North Las Vegas
32,Nevada,NV,16180,Carson City
32,Nevada,NV,39900,Reno
33,New Hampshire,NH,31700,Manchester-Nashua
34,New Jersey,NJ,47220,Vineland
34,New Jersey,NJ,12100,Atlantic City-Hammonton
34,New Jersey,NJ,45940,Trenton-Princeton
35,New Mexico,NM,42140,Santa Fe
35,New Mexico,NM,10740,Albuquerque
35,New Mexico,NM,22140,Farmington
35,New Mexico,NM,29740,Las Cruces
36,New York,NY,15380,Buffalo-Cheektowaga
36,New York,NY,45060,Syracuse
36,New York,NY,10580,Albany-Schenectady-Troy
36,New York,NY,21300,Elmira
36,New York,NY,13780,Binghamton
36,New York,NY,35620,New York-Newark-Jersey City
36,New York,NY,46540,Utica-Rome
36,New York,NY,27060,Ithaca
36,New York,NY,48060,Watertown-Fort Drum
36,New York,NY,28740,Kingston
36,New York,NY,28880,Kiryas Joel-Poughkeepsie-Newburgh
36,New York,NY,24020,Glens Falls
36,New York,NY,40380,Rochester
37,North Carolina,NC,39580,Raleigh-Cary
37,North Carolina,NC,22180,Fayetteville
37,North Carolina,NC,24660,Greensboro-High Point
37,North Carolina,NC,24780,Greenville
37,North Carolina,NC,27340,Jacksonville
37,North Carolina,NC,49180,Winston-Salem
37,North Carolina,NC,24140,Goldsboro
37,North Carolina,NC,48900,Wilmington
37,North Carolina,NC,25860,Hickory-Lenoir-Morganton
37,North Carolina,NC,38240,Pinehurst-Southern Pines
37,North Carolina,NC,11700,Asheville
37,North Carolina,NC,16740,Charlotte-Concord-Gastonia
37,North Carolina,NC,20500,Durham-Chapel Hill
37,North Carolina,NC,40580,Rocky Mount
37,North Carolina,NC,15500,Burlington
38,North Dakota,ND,24220,Grand Forks
38,North Dakota,ND,13900,Bismarck
38,North Dakota,ND,22020,Fargo
38,North Dakota,ND,33500,Minot
39,Ohio,OH,19430,Dayton-Kettering-Beavercreek
39,Ohio,OH,45780,Toledo
39,Ohio,OH,17140,Cincinnati
39,Ohio,OH,31900,Mansfield
39,Ohio,OH,44220,Springfield
39,Ohio,OH,41780,Sandusky
39,Ohio,OH,15940,Canton-Massillon
39,Ohio,OH,10420,Akron
39,Ohio,OH,30620,Lima
39,Ohio,OH,17410,Cleveland
39,Ohio,OH,49660,Youngstown-Warren
39,Ohio,OH,18140,Columbus
40,Oklahoma,OK,36420,Oklahoma City
40,Oklahoma,OK,46140,Tulsa
40,Oklahoma,OK,21420,Enid
40,Oklahoma,OK,30020,Lawton
41,Oregon,OR,24420,Grants Pass
41,Oregon,OR,10540,Albany
41,Oregon,OR,13460,Bend
41,Oregon,OR,41420,Salem
41,Oregon,OR,21660,Eugene-Springfield
41,Oregon,OR,18700,Corvallis
41,Oregon,OR,38900,Portland-Vancouver-Hillsboro
41,Oregon,OR,32780,Medford
42,Pennsylvania,PA,10900,Allentown-Bethlehem-Easton
42,Pennsylvania,PA,29540,Lancaster
42,Pennsylvania,PA,25420,Harrisburg-Carlisle
42,Pennsylvania,PA,49620,York-Hanover
42,Pennsylvania,PA,38300,Pittsburgh
42,Pennsylvania,PA,37980,Philadelphia-Camden-Wilmington
42,Pennsylvania,PA,16540,Chambersburg
42,Pennsylvania,PA,42540,Scranton--Wilkes-Barre
42,Pennsylvania,PA,30140,Lebanon
42,Pennsylvania,PA,48700,Williamsport
42,Pennsylvania,PA,11020,Altoona
42,Pennsylvania,PA,27780,Johnstown
42,Pennsylvania,PA,21500,Erie
42,Pennsylvania,PA,39740,Reading
42,Pennsylvania,PA,44300,State College
42,Pennsylvania,PA,23900,Gettysburg
44,Rhode Island,RI,39300,Providence-Warwick
45,South Carolina,SC,44940,Sumter
45,South Carolina,SC,22500,Florence
45,South Carolina,SC,43900,Spartanburg
45,South Carolina,SC,25940,Hilton Head Island-Bluffton-Port Royal
45,South Carolina,SC,17900,Columbia
45,South Carolina,SC,24860,Greenville-Anderson-Greer
45,South Carolina,SC,34820,Myrtle Beach-Conway-North Myrtle Beach
45,South Carolina,SC,16700,Charleston-North Charleston
46,South Dakota,SD,43620,Sioux Falls
46,South Dakota,SD,39660,Rapid City
47,Tennessee,TN,28940,Knoxville
47,Tennessee,TN,17420,Cleveland
47,Tennessee,TN,34100,Morristown
47,Tennessee,TN,34980,Nashville-Davidson--Murfreesboro--Franklin
47,Tennessee,TN,27180,Jackson
47,Tennessee,TN,27740,Johnson City
47,Tennessee,TN,32820,Memphis
47,Tennessee,TN,16860,Chattanooga
47,Tennessee,TN,17300,Clarksville
47,Tennessee,TN,28700,Kingsport-Bristol
48,Texas,TX,29700,Laredo
48,Texas,TX,43300,Sherman-Denison
48,Texas,TX,11100,Amarillo
48,Texas,TX,21340,El Paso
48,Texas,TX,19100,Dallas-Fort Worth-Arlington
48,Texas,TX,48660,Wichita Falls
48,Texas,TX,47380,Waco
48,Texas,TX,32580,McAllen-Edinburg-Mission
48,Texas,TX,46340,Tyler
48,Texas,TX,15180,Brownsville-Harlingen
48,Texas,TX,10180,Abilene
48,Texas,TX,45500,Texarkana
48,Texas,TX,20580,Eagle Pass
48,Texas,TX,12420,Austin-Round Rock-San Marcos
48,Texas,TX,28660,Killeen-Temple
48,Texas,TX,36220,Odessa
48,Texas,TX,41660,San Angelo
48,Texas,TX,18580,Corpus Christi
48,Texas,TX,13140,Beaumont-Port Arthur
48,Texas,TX,41700,San Antonio-New Braunfels
48,Texas,TX,47020,Victoria
48,Texas,TX,26420,Houston-Pasadena-The Woodlands
48,Texas,TX,33260,Midland
