state,state_abbr,state_fips,county_code,msa_code,county_name
Delaware,DE,10,003,37980,New Castle
Delaware,DE,10,005,1000005,Sussex
District of Columbia,DC,11,001,47900,District of Columbia
Florida,FL,12,001,23540,Alachua
Florida,FL,12,003,27260,Baker
Florida,FL,12,005,37460,Bay
Florida,FL,12,007,1200006,Bradford
Florida,FL,12,009,37340,Brevard
Florida,FL,12,011,33100,Broward
Florida,FL,12,013,1200006,Calhoun
Florida,FL,12,015,39460,Charlotte
Florida,FL,12,017,26140,Citrus
Florida,FL,12,019,27260,Clay
Florida,FL,12,021,34940,Collier
Florida,FL,12,023,1200006,Columbia
Florida,FL,12,027,1200003,DeSoto
Florida,FL,12,029,1200006,Dixie
Florida,FL,12,031,27260,Duval
Florida,FL,12,033,37860,Escambia
Florida,FL,12,035,19660,Flagler
Florida,FL,12,037,1200006,Franklin
Florida,FL,12,039,45220,Gadsden
Florida,FL,12,041,23540,Gilchrist
Florida,FL,12,043,1200003,Glades
Florida,FL,12,045,1200006,Gulf
Florida,FL,12,047,1200006,Hamilton
Florida,FL,12,049,1200003,Hardee
Florida,FL,12,051,1200003,Hendry
Florida,FL,12,053,45300,Hernando
Florida,FL,12,055,42700,Highlands
Florida,FL,12,057,45300,Hillsborough
Florida,FL,12,059,1200006,Holmes
Florida,FL,12,061,42680,Indian River
Florida,FL,12,063,1200006,Jackson
Florida,FL,12,065,45220,Jefferson
Florida,FL,12,067,1200006,Lafayette
Florida,FL,12,069,36740,Lake
Florida,FL,12,071,15980,Lee
Florida,FL,12,073,45220,Leon
Florida,FL,12,075,23540,Levy
Florida,FL,12,077,1200006,Liberty
Florida,FL,12,079,1200006,Madison
Florida,FL,12,081,35840,Manatee
Florida,FL,12,083,36100,Marion
Florida,FL,12,085,38940,Martin
Florida,FL,12,086,33100,Miami-Dade
Florida,FL,12,087,1200003,Monroe
Florida,FL,12,089,27260,Nassau
Florida,FL,12,091,18880,Okaloosa
Florida,FL,12,093,1200003,Okeechobee
Florida,FL,12,095,36740,Orange
Florida,FL,12,097,36740,Osceola
Florida,FL,12,099,33100,Palm Beach
Florida,FL,12,101,45300,Pasco
Florida,FL,12,103,45300,Pinellas
Florida,FL,12,105,29460,Polk
Florida,FL,12,107,1200006,Putnam
Florida,FL,12,113,27260,Santa Rosa
Florida,FL,12,115,38940,Sarasota
Florida,FL,12,117,37860,Seminole
Florida,FL,12,109,35840,Saint Johns
Florida,FL,12,111,36740,Saint Lucie
Florida,FL,12,119,48680,Sumter
Florida,FL,12,121,1200006,Suwannee
Florida,FL,12,123,1200006,Taylor
Florida,FL,12,125,1200006,Union
Florida,FL,12,127,19660,Volusia
Florida,FL,12,129,45220,Wakulla
Florida,FL,12,131,18880,Walton
Florida,FL,12,133,37460,Washington
Georgia,GA,13,001,1300004,Appling
Georgia,GA,13,003,1300004,Atkinson
Georgia,GA,13,005,1300004,Bacon
Georgia,GA,13,007,1300004,Baker
Georgia,GA,13,009,1300002,Baldwin
Georgia,GA,13,011,1300001,Banks
Georgia,GA,13,013,12060,Barrow
Georgia,GA,13,015,12060,Bartow
Georgia,GA,13,017,1300004,Ben Hill
Georgia,GA,13,019,1300004,Berrien
Georgia,GA,13,021,31420,Bibb
Georgia,GA,13,023,1300002,Bleckley
Georgia,GA,13,025,15260,Brantley
Georgia,GA,13,027,46660,Brooks
Georgia,GA,13,029,42340,Bryan
Georgia,GA,13,031,1300003,Bulloch
Georgia,GA,13,033,12260,Burke
Georgia,GA,13,035,12060,Butts
Georgia,GA,13,037,1300004,Calhoun
Georgia,GA,13,039,1300004,Camden
Georgia,GA,13,043,1300003,Candler
Georgia,GA,13,045,12060,Carroll
Georgia,GA,13,047,16860,Catoosa
Georgia,GA,13,049,1300004,Charlton
Georgia,GA,13,051,42340,Chatham
Georgia,GA,13,053,17980,Chattahoochee
Georgia,GA,13,055,1300001,Chattooga
Georgia,GA,13,057,12060,Cherokee
Georgia,GA,13,059,12020,Clarke
Georgia,GA,13,061,1300004,Clay
Georgia,GA,13,063,12060,Clayton
Georgia,GA,13,065,1300004,Clinch
Georgia,GA,13,067,12060,Cobb
Georgia,GA,13,069,1300004,Coffee
Georgia,GA,13,071,1300004,Colquitt
Georgia,GA,13,073,12260,Columbia
Georgia,GA,13,075,1300004,Cook
Georgia,GA,13,077,12060,Coweta
Georgia,GA,13,079,31420,Crawford
Georgia,GA,13,081,1300002,Crisp
Georgia,GA,13,083,16860,Dade
Georgia,GA,13,085,12060,Dawson
Georgia,GA,13,087,1300004,Decatur
Georgia,GA,13,089,12060,DeKalb
Georgia,GA,13,091,1300002,Dodge
Georgia,GA,13,093,1300002,Dooly
Georgia,GA,13,095,10500,Dougherty
Georgia,GA,13,097,12060,Douglas
Georgia,GA,13,099,1300004,Early
Georgia,GA,13,101,46660,Echols
Georgia,GA,13,103,42340,Effingham
Georgia,GA,13,105,1300001,Elbert
Georgia,GA,13,107,1300003,Emanuel
Georgia,GA,13,109,1300003,Evans
Georgia,GA,13,111,1300001,Fannin
Georgia,GA,13,113,12060,Fayette
Georgia,GA,13,115,40660,Floyd
Georgia,GA,13,117,12060,Forsyth
Georgia,GA,13,119,1300001,Franklin
Georgia,GA,13,121,12060,Fulton
Georgia,GA,13,123,1300001,Gilmer
Georgia,GA,13,125,1300003,Glascock
Georgia,GA,13,127,15260,Glynn
Georgia,GA,13,129,1300001,Gordon
