region_id,metro_name,state_fips,state_abbr,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024,1/31/2025,2/28/2025,3/31/2025,4/30/2025,5/31/2025,6/30/2025,7/31/2025,8/31/2025,9/30/2025,10/31/2025,11/30/2025,12/31/2025,1/31/2026,2/28/2026,3/31/2026
394902,Nashville,47,TN,2201.09,2214.26,2230.28,2248.72,2252.08,2256.77,2262.16,2273.36,2269.76,2269.16,2260.61,2261.94,2257.23,2265.10,2276.66,2290.92,2303.81,2319.81,2328.12,2338.84,2332.48,2327.80,2306.62,2305.56,2309.11,2320.90,2326.42
395194,Virginia Beach,51,VA,1997.43,2014.40,2024.47,2030.03,2037.48,2053.21,2069.65,2079.82,2087.71,2087.97,2095.12,2088.08,2107.07,2113.79,2128.48,2127.60,2143.40,2159.48,2170.57,2175.55,2170.27,2180.80,2180.01,2194.56,2190.34,2207.80,2219.87
395005,Providence,44,RI,2741.41,2759.06,2786.74,2820.01,2867.45,2886.12,2891.28,2888.65,2875.28,2867.36,2884.85,2907.19,2964.51,2944.17,2960.21,2951.09,3017.13,3062.19,3069.46,3032.36,2996.88,3009.56,3044.35,3070.21,3082.77,3119.29,3174.87
394714,Jacksonville,12,FL,1949.46,1959.41,1978.35,1989.06,2000.24,2010.10,2016.32,2020.21,2013.63,2012.03,2003.14,2003.31,2002.09,2009.21,2017.54,2024.50,2037.46,2044.78,2054.33,2058.89,2064.18,2057.03,2046.89,2032.61,2035.08,2043.14,2056.78
394862,Milwaukee,55,WI,1650.61,1650.42,1660.09,1683.56,1696.07,1718.41,1715.07,1729.93,1723.08,1737.89,1738.12,1744.01,1734.95,1752.33,1760.27,1777.70,1779.62,1793.32,1807.26,1810.80,1819.74,1815.28,1839.62,1847.52,1850.78,1849.63,1861.66
394935,Oklahoma City,40,OK,1432.25,1440.28,1450.57,1458.08,1467.32,1474.67,1480.50,1484.30,1484.69,1485.53,1484.19,1485.07,1490.72,1496.77,1503.46,1511.23,1518.17,1527.18,1530.27,1535.11,1536.87,1537.38,1539.94,1538.76,1540.25,1543.73,1553.99
395012,Raleigh,37,NC,1970.89,1983.89,1995.25,2006.44,2016.77,2021.77,2030.19,2032.30,2033.11,2030.37,2031.43,2032.50,2034.91,2033.37,2042.88,2050.29,2060.59,2063.99,2072.34,2075.07,2074.72,2070.95,2072.63,2069.40,2066.22,2065.13,2074.42
394849,Memphis,47,TN,1512.58,1524.24,1538.52,1538.55,1548.03,1553.77,1560.70,1562.03,1562.85,1565.58,1568.70,1572.14,1575.51,1582.25,1594.01,1601.87,1608.35,1608.94,1609.17,1611.58,1611.85,1611.05,1607.61,1602.61,1608.48,1608.59,1618.89
395022,Richmond,51,VA,2038.05,2051.25,2074.24,2080.74,2083.95,2095.82,2107.20,2121.55,2123.73,2122.14,2130.53,2138.96,2150.05,2157.48,2165.38,2177.32,2188.98,2195.41,2207.06,2207.66,2226.42,2217.99,2231.07,2234.31,2244.93,2245.08,2241.88
394807,Louisville,21,KY,1506.77,1517.28,1526.23,1541.98,1545.99,1557.64,1562.87,1567.37,1568.92,1578.93,1582.69,1588.44,1585.11,1590.98,1600.65,1614.00,1624.06,1628.68,1632.16,1639.53,1640.13,1635.63,1624.61,1629.63,1635.68,1648.70,1652.22
394910,New Orleans,22,LA,1765.11,1762.20,1768.52,1773.60,1781.66,1786.45,1789.60,1795.36,1804.50,1810.43,1821.38,1820.75,1827.98,1835.20,1842.78,1844.60,1842.36,1845.59,1850.39,1848.77,1852.74,1847.32,1837.87,1835.79,1840.46,1847.45,1851.56
395053,Salt Lake City,49,UT,2283.00,2306.33,2326.16,2340.48,2349.78,2355.12,2366.60,2361.08,2373.69,2368.56,2365.41,2346.65,2348.43,2369.39,2397.12,2410.43,2419.24,2424.00,2428.41,2419.56,2408.44,2409.45,2412.65,2426.19,2411.36,2413.20,2427.03
394669,Hartford,09,CT,2294.48,2322.12,2351.79,2369.39,2390.35,2390.35,2392.45,2416.53,2436.48,2445.87,2447.39,2443.24,2440.59,2457.64,2498.58,2511.86,2518.09,2503.57,2529.66,2523.71,2524.54,2503.96,2495.22,2509.75,2536.73,2571.86,2591.65
394425,Buffalo,36,NY,1610.59,1611.64,1626.02,1633.92,1648.48,1647.16,1643.27,1650.11,1662.86,1680.28,1679.81,1685.60,1682.24,1679.69,1683.01,1687.37,1698.35,1716.45,1744.66,1730.39,1722.90,1706.76,1726.21,1737.47,1757.04,1763.00,1772.67
394388,Birmingham,01,AL,1412.51,1420.09,1429.73,1439.78,1447.69,1456.29,1459.63,1461.36,1462.01,1463.56,1473.80,1479.32,1486.10,1487.31,1495.32,1507.38,1515.71,1524.72,1530.32,1539.35,1536.86,1537.66,1531.32,1532.32,1527.37,1533.50,1537.12
395031,Rochester,36,NY,1998.58,2027.98,2041.00,2056.51,2053.11,2064.43,2078.94,2087.54,2083.29,2080.44,2097.37,2107.50,2118.97,2131.22,2159.34,2171.55,2177.90,2180.47,2186.18,2194.95,2195.30,2190.56,2176.49,2195.43,2215.86,2232.31,2229.60
394640,Grand Rapids,26,MI,1878.88,1885.68,1901.05,1913.79,1934.55,1952.08,1950.10,1954.39,1945.84,1954.17,1949.55,1956.06,1969.87,1993.22,1995.97,2011.33,2023.45,2060.96,2066.22,2074.31,2073.81,2061.80,2055.71,2041.53,2053.80,2063.68,2078.85
