region_id,metro_name,state_fips,state_abbr,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024,1/31/2025,2/28/2025,3/31/2025,4/30/2025,5/31/2025,6/30/2025,7/31/2025,8/31/2025,9/30/2025,10/31/2025,11/30/2025,12/31/2025,1/31/2026,2/28/2026,3/31/2026
394455,Charleston,54,WV,940.32,940.35,953.02,963.49,972.87,969.18,967.45,976.91,983.50,992.89,990.15,992.51,998.98,1004.12,1002.80,1006.58,1020.46,1037.75,1043.68,1052.04,1056.74,1069.21,1061.37,1064.47,1066.95,1070.15,1065.20
395240,Yakima,53,WA,1149.89,1151.19,1153.04,1167.69,1174.63,1195.13,1195.88,1205.01,1199.71,1202.11,1200.23,1208.36,1203.12,1197.52,1192.68,1203.35,1216.13,1222.43,1232.94,1243.27,1242.58,1243.23,1235.20,1246.63,1247.59,1238.91,1223.88
394585,Fargo,38,ND,1070.09,1066.23,1074.13,1076.76,1085.04,1086.77,1092.16,1095.26,1100.81,1113.79,1117.68,1119.34,1100.17,1098.73,1093.33,1103.78,1106.96,1115.37,1123.93,1135.73,1136.76,1132.72,1124.11,1126.41,1133.99,1138.06,1140.27
394387,Binghamton,36,NY,1090.10,1080.60,1090.92,1114.77,1140.17,1146.28,1139.05,1152.82,1160.83,1171.48,1160.74,1158.93,1159.45,1164.54,1176.21,1168.59,1191.77,1205.62,1216.16,1231.84,1234.03,1273.30,1250.13,1246.27,1230.30,1251.56,1279.51
394609,Fort Smith,05,AR,902.20,911.71,923.82,933.70,946.09,952.70,958.39,953.53,952.39,952.95,955.77,950.03,949.76,951.67,956.62,962.06,964.91,968.43,974.69,976.75,984.22,983.27,984.49,984.26,983.30,983.61,988.06
394334,Appleton,55,WI,1099.61,1111.90,1117.15,1121.61,1117.18,1121.04,1126.92,1132.27,1141.30,1139.40,1140.91,1142.54,1157.69,1176.74,1191.48,1190.48,1190.87,1192.35,1202.08,1210.17,1210.44,1203.79,1199.86,1210.96,1224.44,1237.38,1238.16
845160,Prescott Valley,04,AZ,1762.46,1781.31,1796.38,1807.22,1808.47,1795.24,1794.59,1797.42,1814.71,1817.05,1808.52,1806.56,1813.67,1825.21,1830.77,1841.46,1855.58,1873.66,1872.64,1866.97,1861.16,1858.64,1857.22,1855.44,1853.52,1849.51,1844.96
395161,Topeka,20,KS,1042.52,1043.01,1044.04,1048.41,1053.59,1073.77,1088.09,1099.14,1100.42,1108.71,1099.87,1103.95,1100.17,1115.95,1128.28,1137.01,1142.56,1146.15,1151.59,1153.71,1151.20,1159.49,1165.17,1174.93,1178.77,1181.05,1183.16
394813,Macon,13,GA,1127.66,1147.20,1159.05,1166.73,1172.43,1182.02,1193.87,1197.60,1198.24,1189.94,1181.73,1171.18,1168.58,1176.08,1204.22,1215.56,1215.76,1205.12,1200.88,1200.91,1205.18,1203.48,1210.22,1203.34,1204.13,1204.65,1208.61
395174,Tyler,48,TX,1295.74,1300.05,1308.17,1311.66,1320.10,1322.42,1325.80,1329.45,1331.58,1340.83,1352.51,1353.85,1348.10,1340.18,1342.22,1347.75,1352.34,1357.33,1356.50,1354.14,1359.38,1365.48,1366.37,1357.04,1350.34,1350.85,1345.77
394361,Barnstable Town,25,MA,2467.72,2503.45,2571.08,2602.96,2603.07,2576.69,2583.41,2607.70,2563.71,2558.00,2534.60,2549.64,2556.04,2585.24,2643.72,2697.64,2677.71,2687.92,2692.51,2731.79,2683.03,2617.92,2578.19,2623.27,2694.31,2754.47,2755.59
394519,Daphne,01,AL,1573.55,1579.20,1592.46,1600.91,1628.38,1639.79,1650.57,1654.55,1653.52,1643.20,1627.43,1611.51,1602.95,1599.66,1612.07,1624.19,1637.94,1645.25,1657.05,1657.75,1668.23,1678.99,1677.87,1666.42,1653.12,1647.61,1662.73
394378,Bellingham,53,WA,1866.21,1890.93,1915.64,1928.04,1932.84,1929.49,1936.25,1941.10,1934.73,1933.90,1924.07,1933.31,1922.92,1945.65,1970.95,1998.69,2008.78,2008.82,2002.49,1987.00,1971.91,1971.15,1961.24,1958.70,1964.08,1994.99,2022.68
394429,Burlington,50,VT,1982.84,1981.66,2000.64,2011.51,2037.07,2051.34,2053.97,2064.30,2076.43,2074.33,2057.40,2040.27,2040.50,2050.58,2061.57,2070.09,2075.40,2087.23,2088.97,2090.24,2093.18,2099.08,2103.85,2060.13,2061.51,2056.93,2100.89
395030,Rochester,27,MN,1519.86,1542.53,1562.63,1576.02,1589.39,1591.25,1587.18,1578.51,1569.73,1577.25,1587.50,1595.16,1595.71,1607.71,1622.16,1638.99,1647.05,1654.19,1660.91,1662.18,1655.82,1632.42,1619.51,1616.77,1629.03,1640.94,1656.56
