state,state_abbr,state_fips,msa_code,metro_name,adult_1_children_0,adult_1_children_1,adult_1_children_2,adult_1_children_3,adults_2_children_0,adults_2_children_1,adults_2_children_2,adults_2_children_3
Idaho,ID,16,30300,Lewiston,4975,7299,10935,14554,9121,11320,14561,17765
Idaho,ID,16,46300,Twin Falls,4279,6277,9405,12517,7845,9736,12523,15279
Idaho,ID,16,14260,Boise City,4769,6996,10483,13951,8744,10851,13958,17030
Illinois,IL,17,28100,Kankakee,4183,6136,9194,12236,7669,9517,12242,14936
Illinois,IL,17,37900,Peoria,4283,6284,9415,12530,7853,9746,12536,15295
Illinois,IL,17,19500,Decatur,4054,5948,8911,11860,7433,9225,11865,14477
Illinois,IL,17,14010,Bloomington,4276,6273,9399,12510,7840,9730,12515,15269
Illinois,IL,17,40420,Rockford,4182,6135,9192,12234,7667,9516,12240,14933
Illinois,IL,17,44100,Springfield,4311,6325,9476,12612,7904,9810,12618,15395
Illinois,IL,17,16580,Champaign-Urbana,4241,6222,9322,12407,7776,9650,12413,15144
Illinois,IL,17,16980,Chicago-Naperville-Elgin,4627,6787,10169,13534,8482,10527,13540,16520
Indiana,IN,18,29020,Kokomo,3821,5605,8398,11177,7005,8693,11182,13642
Indiana,IN,18,23060,Fort Wayne,3955,5803,8694,11571,7252,9000,11576,14124
Indiana,IN,18,45460,Terre Haute,3804,5581,8362,11129,6975,8656,11134,13584
Indiana,IN,18,14020,Bloomington,4308,6320,9469,12603,7898,9802,12609,15383
Indiana,IN,18,21140,Elkhart-Goshen,3914,5742,8603,11450,7176,8906,11455,13976
Indiana,IN,18,33140,Michigan City-La Porte,4066,5965,8937,11894,7454,9251,11900,14519
Indiana,IN,18,18020,Columbus,3937,5776,8654,11518,7219,8959,11523,14060
Indiana,IN,18,43780,South Bend-Mishawaka,4105,6023,9024,12010,7527,9341,12015,14659
Indiana,IN,18,21780,Evansville,3955,5803,8694,11571,7252,9000,11576,14124
Indiana,IN,18,26900,Indianapolis-Carmel-Greenwood,4076,5980,8960,11925,7473,9275,11930,14556
Indiana,IN,18,29200,Lafayette-West Lafayette,4035,5919,8869,11804,7397,9181,11809,14408
Indiana,IN,18,34620,Muncie,3786,5553,8321,11074,6940,8613,11079,13517
Iowa,IA,19,16300,Cedar Rapids,4305,6315,9461,12592,7892,9794,12598,15370
Iowa,IA,19,47940,Waterloo-Cedar Falls,4221,6193,9278,12349,7739,9605,12354,15073
Iowa,IA,19,43580,Sioux City,3990,5854,8770,11673,7316,9079,11678,14248
Iowa,IA,19,19780,Des Moines-West Des Moines,4432,6501,9741,12965,8125,10084,12971,15825
Iowa,IA,19,26980,Iowa City,4445,6520,9770,13003,8149,10113,13008,15871
Iowa,IA,19,19340,Davenport-Moline-Rock Island,4189,6146,9208,12255,7680,9532,12260,14959
Iowa,IA,19,11180,Ames,4333,6357,9524,12676,7944,9859,12681,15472
Iowa,IA,19,20220,Dubuque,4335,6359,9528,12680,7947,9863,12686,15478
Kansas,KS,20,48620,Wichita,4181,6133,9189,12230,7665,9512,12235,14928
Kansas,KS,20,31740,Manhattan,4497,6597,9884,13156,8245,10232,13161,16058
Kansas,KS,20,29940,Lawrence,4615,6770,10144,13501,8461,10501,13507,16479
Kansas,KS,20,45820,Topeka,4240,6220,9320,12405,7774,9648,12410,15141
Kentucky,KY,21,31140,Louisville/Jefferson County,4173,6122,9172,12208,7651,9495,12213,14901
Kentucky,KY,21,21060,Elizabethtown,3902,5725,8577,11416,7154,8879,11421,13934
Kentucky,KY,21,37140,Paducah,3880,5692,8528,11350,7113,8828,11355,13854
Kentucky,KY,21,36980,Owensboro,3797,5570,8345,11107,6961,8639,11112,13557
Kentucky,KY,21,14540,Bowling Green,4005,5875,8802,11715,7342,9112,11720,14300
Kentucky,KY,21,30460,Lexington-Fayette,4162,6106,9148,12176,7631,9470,12181,14862
Louisiana,LA,22,43640,Slidell-Mandeville-Covington,4381,6427,9630,12817,8033,9969,12823,15645
Louisiana,LA,22,12940,Baton Rouge,4180,6132,9188,12229,7664,9511,12234,14927
Louisiana,LA,22,43340,Shreveport-Bossier City,4215,6183,9264,12330,7728,9590,12336,15051
Louisiana,LA,22,25220,Hammond,4159,6102,9142,12168,7626,9464,12173,14852
Louisiana,LA,22,29180,Lafayette,4187,6143,9204,12250,7677,9528,12255,14952
Louisiana,LA,22,35380,New Orleans-Metairie,4448,6524,9776,13011,8154,10120,13016,15881
Louisiana,LA,22,10780,Alexandria,4046,5935,8893,11836,7418,9206,11841,14447
Louisiana,LA,22,29340,Lake Charles,4225,6198,9287,12361,7747,9614,12366,15088
Louisiana,LA,22,26380,Houma-Bayou Cane-Thibodaux,4139,6072,9098,12108,7588,9418,12114,14780
Louisiana,LA,22,33740,Monroe,3904,5727,8581,11420,7157,8882,11425,13940
Maine,ME,23,12620,Bangor,4487,6582,9861,13125,8225,10208,13131,16020
Maine,ME,23,30340,Lewiston-Auburn,4510,6616,9913,13193,8268,10261,13199,16104
Maine,ME,23,38860,Portland-South Portland,4863,7134,10689,14227,8916,11065,14233,17366
Maryland,MD,24,30500,Lexington Park,4626,6787,10169,13534,8482,10526,13540,16519
Maryland,MD,24,25180,Hagerstown-Martinsburg,4136,6068,9091,12100,7583,9411,12105,14770
Maryland,MD,24,12580,Baltimore-Columbia-Towson,4665,6844,10254,13647,8553,10615,13654,16658
Maryland,MD,24,41540,Salisbury,3994,5859,8779,11684,7323,9088,11689,14262
Massachusetts,MA,25,12700,Barnstable Town,5410,7936,11890,15825,9918,12308,15832,19316
Massachusetts,MA,25,11200,Amherst Town-Northampton,5234,7679,11505,15312,9596,11910,15319,18691
Massachusetts,MA,25,14460,Boston-Cambridge-Newton,5016,7359,11026,14674,9197,11413,14681,17912
Massachusetts,MA,25,44140,Springfield,4557,6685,10015,13330,8354,10368,13336,16271
Massachusetts,MA,25,49340,Worcester,4685,6873,10298,13706,8590,10660,13712,16730
Massachusetts,MA,25,38340,Pittsfield,4954,7267,10889,14492,9082,11272,14498,17689
Michigan,MI,26,24340,Grand Rapids-Wyoming-Kentwood,4240,6220,9319,12404,7773,9647,12409,15140
Michigan,MI,26,13020,Bay City,3879,5690,8526,11347,7112,8826,11353,13851
Michigan,MI,26,33220,Midland,4089,5999,8988,11963,7497,9304,11968,14602
Michigan,MI,26,19820,Detroit-Warren-Dearborn,4276,6273,9399,12510,7840,9730,12515,15270
Michigan,MI,26,35660,Niles,4171,6119,9168,12202,7647,9491,12207,14894
Michigan,MI,26,11460,Ann Arbor,4639,6804,10195,13569,8504,10554,13575,16563
Michigan,MI,26,28020,Kalamazoo-Portage,4136,6067,9091,12099,7583,9411,12105,14769
Michigan,MI,26,45900,Traverse City,4625,6785,10167,13531,8480,10524,13537,16516
Michigan,MI,26,33780,Monroe,4089,5999,8988,11963,7497,9304,11968,14602
Michigan,MI,26,12980,Battle Creek,3996,5862,8783,11689,7326,9092,11694,14268
Michigan,MI,26,29620,Lansing-East Lansing,4209,6174,9251,12312,7716,9576,12318,15029
Michigan,MI,26,34740,Muskegon-Norton Shores,3937,5776,8654,11518,7219,8959,11523,14060
Michigan,MI,26,40980,Saginaw,3949,5793,8680,11553,7240,8985,11558,14101
Michigan,MI,26,22420,Flint,4019,5896,8834,11758,7369,9145,11763,14352
Michigan,MI,26,27100,Jackson,3961,5810,8706,11587,7262,9012,11592,14143
Minnesota,MN,27,33460,Minneapolis-Saint Paul-Bloomington,4913,7207,10799,14372,9007,11179,14379,17543
Minnesota,MN,27,41060,Saint Cloud,4346,6375,9552,12714,7968,9888,12719,15518
Minnesota,MN,27,20260,Duluth,4343,6371,9546,12706,7963,9882,12711,15509
Minnesota,MN,27,31860,Mankato,4636,6801,10190,13562,8499,10548,13568,16554
Minnesota,MN,27,40340,Rochester,4595,6740,10099,13441,8423,10454,13447,16406
Mississippi,MS,28,27140,Jackson,4279,6277,9405,12518,7845,9736,12523,15280
Mississippi,MS,28,25060,Gulfport-Biloxi,4208,6173,9248,12309,7714,9574,12314,15025
Mississippi,MS,28,25620,Hattiesburg,4315,6329,9483,12622,7910,9817,12627,15406
Missouri,MO,29,27900,Joplin,3919,5749,8614,11465,7185,8917,11470,13994
Missouri,MO,29,44180,Springfield,4161,6104,9146,12173,7629,9468,12178,14859
Missouri,MO,29,27620,Jefferson City,4051,5943,8904,11850,7427,9217,11855,14465
Missouri,MO,29,28140,Kansas City,4508,6613,9908,13186,8264,10256,13192,16096
Missouri,MO,29,41140,Saint Joseph,4120,6043,9054,12051,7552,9373,12056,14710
Missouri,MO,29,17860,Columbia,4450,6528,9781,13018,8158,10125,13024,15890
Missouri,MO,29,41180,Saint Louis,4520,6630,9934,13222,8286,10284,13228,16139
Missouri,MO,29,16020,Cape Girardeau,4003,5873,8799,11711,7339,9109,11716,14295
Montana,MT,30,25740,Helena,4424,6490,9724,12942,8111,10066,12948,15798
Montana,MT,30,13740,Billings,4265,6256,9373,12475,7818,9703,12481,15228
Montana,MT,30,14580,Bozeman,4872,7147,10709,14253,8932,11086,14259,17397
Montana,MT,30,33540,Missoula,4470,6558,9825,13077,8195,10171,13083,15962
Montana,MT,30,24500,Great Falls,4183,6136,9194,12236,7669,9517,12242,14936
Nebraska,NE,31,36540,Omaha,4368,6408,9601,12778,8008,9939,12784,15597
Nebraska,NE,31,30700,Lincoln,4370,6410,9605,12783,8011,9942,12789,15603
Nebraska,NE,31,24260,Grand Island,3891,5708,8552,11382,7133,8853,11387,13893
Nevada,NV,32,29820,Las Vegas-Henderson-North Las Vegas,4241,6222,9322,12407,7776,9650,12413,15144
Nevada,NV,32,16180,Carson City,4335,6359,9528,12680,7947,9863,12686,15478
Nevada,NV,32,39900,Reno,4696,6888,10321,13737,8609,10684,13743,16767
New Hampshire,NH,33,31700,Manchester-Nashua,4627,6787,10170,13535,8483,10527,13541,16521
New Jersey,NJ,34,47220,Vineland,4136,6067,9091,12099,7583,9411,12105,14769
New Jersey,NJ,34,12100,Atlantic City-Hammonton,4607,6759,10127,13478,8447,10483,13484,16451
New Jersey,NJ,34,45940,Trenton-Princeton,4720,6924,10375,13808,8654,10740,13815,16855
New Mexico,NM,35,42140,Santa Fe,4627,6787,10170,13535,8483,10527,13541,16521
New Mexico,NM,35,10740,Albuquerque,4147,6083,9115,12131,7603,9436,12137,14808
New Mexico,NM,35,22140,Farmington,3973,5828,8731,11621,7283,9039,11626,14185
New Mexico,NM,35,29740,Las Cruces,3961,5810,8706,11587,7262,9012,11592,14143
New York,NY,36,15380,Buffalo-Cheektowaga,4566,6698,10035,13356,8370,10388,13362,16303
New York,NY,36,45060,Syracuse,4479,6571,9845,13103,8212,10192,13109,15994
New York,NY,36,10580,Albany-Schenectady-Troy,4573,6708,10051,13377,8383,10404,13383,16328
New York,NY,36,21300,Elmira,4265,6256,9373,12475,7818,9703,12481,15228
New York,NY,36,13780,Binghamton,4438,6510,9754,12981,8136,10097,12987,15845
New York,NY,36,35620,New York-Newark-Jersey City,4965,7284,10914,14525,9103,11298,14532,17730
New York,NY,36,46540,Utica-Rome,4257,6244,9356,12452,7804,9685,12457,15199
New York,NY,36,27060,Ithaca,4919,7216,10812,14389,9018,11192,14396,17564
New York,NY,36,48060,Watertown-Fort Drum,4253,6239,9348,12441,7797,9677,12447,15186
New York,NY,36,28740,Kingston,4533,6650,9964,13261,8311,10315,13267,16187
New York,NY,36,28880,Kiryas Joel-Poughkeepsie-Newburgh,4452,6531,9786,13024,8162,10130,13030,15898
New York,NY,36,24020,Glens Falls,4563,6694,10030,13349,8366,10383,13355,16294
New York,NY,36,40380,Rochester,4525,6638,9946,13238,8296,10296,13244,16158
North Carolina,NC,37,39580,Raleigh-Cary,4636,6800,10189,13561,8499,10548,13567,16553
North Carolina,NC,37,22180,Fayetteville,4098,6012,9007,11988,7513,9324,11994,14633
North Carolina,NC,37,24660,Greensboro-High Point,4196,6155,9222,12274,7693,9547,12280,14982
North Carolina,NC,37,24780,Greenville,4218,6187,9271,12339,7733,9597,12344,15061
North Carolina,NC,37,27340,Jacksonville,4159,6102,9142,12168,7626,9464,12173,14852
North Carolina,NC,37,49180,Winston-Salem,4206,6171,9245,12305,7712,9571,12310,15020
North Carolina,NC,37,24140,Goldsboro,3891,5708,8552,11382,7133,8853,11387,13893
North Carolina,NC,37,48900,Wilmington,4679,6863,10284,13687,8578,10645,13693,16706
North Carolina,NC,37,25860,Hickory-Lenoir-Morganton,3976,5832,8739,11631,7289,9046,11636,14197
North Carolina,NC,37,38240,Pinehurst-Southern Pines,4814,7062,10580,14082,8825,10953,14088,17189
North Carolina,NC,37,11700,Asheville,4732,6941,10400,13842,8675,10766,13848,16896
North Carolina,NC,37,16740,Charlotte-Concord-Gastonia,4478,6569,9842,13099,8209,10188,13105,15989
North Carolina,NC,37,20500,Durham-Chapel Hill,4652,6824,10225,13609,8529,10585,13615,16611
North Carolina,NC,37,40580,Rocky Mount,3914,5742,8603,11450,7176,8905,11455,13976
North Carolina,NC,37,15500,Burlington,4253,6239,9348,12441,7797,9677,12447,15186
North Dakota,ND,38,24220,Grand Forks,4124,6050,9064,12064,7561,9383,12069,14725
North Dakota,ND,38,13900,Bismarck,4250,6235,9342,12434,7792,9671,12439,15177
North Dakota,ND,38,22020,Fargo,4387,6436,9643,12834,8043,9982,12840,15666
North Dakota,ND,38,33500,Minot,4148,6085,9117,12134,7604,9437,12139,14811
Ohio,OH,39,19430,Dayton-Kettering-Beavercreek,4112,6032,9038,12029,7539,9356,12035,14683
Ohio,OH,39,45780,Toledo,4079,5983,8965,11932,7478,9280,11937,14564
Ohio,OH,39,17140,Cincinnati,4187,6142,9202,12248,7676,9526,12253,14950
Ohio,OH,39,31900,Mansfield,3996,5862,8783,11689,7326,9092,11694,14268
Ohio,OH,39,44220,Springfield,3867,5673,8500,11313,7090,8799,11318,13809
Ohio,OH,39,41780,Sandusky,4167,6113,9159,12190,7639,9481,12195,14879
Ohio,OH,39,15940,Canton-Massillon,4257,6245,9357,12454,7805,9687,12460,15202
Ohio,OH,39,10420,Akron,4548,6672,9997,13305,8338,10348,13311,16240
Ohio,OH,39,30620,Lima,3762,5519,8269,11006,6897,8560,11011,13434
Ohio,OH,39,17410,Cleveland,4698,6891,10325,13742,8612,10688,13748,16774
Ohio,OH,39,49660,Youngstown-Warren,4241,6222,9322,12407,7776,9650,12413,15145
Ohio,OH,39,18140,Columbus,4293,6297,9435,12558,7870,9767,12563,15328
Oklahoma,OK,40,36420,Oklahoma City,4224,6196,9284,12356,7744,9611,12362,15083
Oklahoma,OK,40,46140,Tulsa,4250,6235,9342,12433,7792,9671,12439,15176
Oklahoma,OK,40,21420,Enid,4124,6050,9065,12065,7561,9384,12071,14727
Oklahoma,OK,40,30020,Lawton,4010,5883,8814,11731,7352,9124,11736,14319
Oregon,OR,41,24420,Grants Pass,4545,6667,9990,13296,8333,10341,13302,16229
Oregon,OR,41,10540,Albany,4276,6273,9399,12510,7840,9730,12515,15269
Oregon,OR,41,13460,Bend,4878,7156,10722,14271,8944,11100,14277,17419
Oregon,OR,41,41420,Salem,4361,6397,9585,12756,7995,9922,12762,15571
Oregon,OR,41,21660,Eugene-Springfield,4603,6753,10118,13467,8440,10474,13473,16438
Oregon,OR,41,18700,Corvallis,4837,7096,10632,14150,8868,11006,14156,17272
Oregon,OR,41,38900,Portland-Vancouver-Hillsboro,4959,7275,10900,14507,9092,11284,14514,17708
