state,state_abbr,state_fips,provider_name,alternative_provider_name,line_count,monthly_cost,cost_per_line,alternative_monthly_cost,alternative_cost_per_line
Arkansas,AR,05,Verizon,Visible,2,110,55,50,25
California,CA,06,AT&T,Cricket,2,110,55,65,33
Colorado,CO,08,T-Mobile,Mint Mobile,2,180,90,60,30
Connecticut,CT,09,AT&T,Cricket,2,110,55,65,33
Delaware,DE,10,AT&T,Cricket,2,110,55,65,33
District of Columbia,DC,11,AT&T,Cricket,2,110,55,65,33
Florida,FL,12,T-Mobile,Mint Mobile,2,180,90,60,30
Georgia,GA,13,AT&T,Cricket,2,110,55,65,33
Hawaii,HI,15,Verizon,Visible,2,110,55,50,25
Idaho,ID,16,Verizon,Visible,2,110,55,50,25
Illinois,IL,17,AT&T,Cricket,2,110,55,65,33
Indiana,IN,18,Verizon,Visible,2,110,55,50,25
Iowa,IA,19,Verizon,Visible,2,110,55,50,25
Kansas,KS,20,Verizon,Visible,2,110,55,50,25
Kentucky,KY,21,Verizon,Visible,2,110,55,50,25
Louisiana,LA,22,AT&T,Cricket,2,110,55,65,33
Maine,ME,23,Verizon,Visible,2,110,55,50,25
Maryland,MD,24,AT&T,Cricket,2,110,55,65,33
Massachusetts,MA,25,AT&T,Cricket,2,110,55,65,33
Michigan,MI,26,Verizon,Visible,2,110,55,50,25
Minnesota,MN,27,Verizon,Visible,2,110,55,50,25
Mississippi,MS,28,Verizon,Visible,2,110,55,50,25
Missouri,MO,29,Verizon,Visible,2,110,55,50,25
Montana,MT,30,Verizon,Visible,2,110,55,50,25
Nebraska,NE,31,Verizon,Visible,2,110,55,50,25
Nevada,NV,32,T-Mobile,Mint Mobile,2,180,90,60,30
New Hampshire,NH,33,Verizon,Visible,2,110,55,50,25
New Jersey,NJ,34,AT&T,Cricket,2,110,55,65,33
New Mexico,NM,35,Verizon,Visible,2,110,55,50,25
New York,NY,36,AT&T,Cricket,2,110,55,65,33
North Carolina,NC,37,AT&T,Cricket,2,110,55,65,33
North Dakota,ND,38,Verizon,Visible,2,110,55,50,25
Ohio,OH,39,Verizon,Visible,2,110,55,50,25
Oklahoma,OK,40,Verizon,Visible,2,110,55,50,25
Oregon,OR,41,T-Mobile,Mint Mobile,2,180,90,60,30
Pennsylvania,PA,42,AT&T,Cricket,2,110,55,65,33
Rhode Island,RI,44,AT&T,Cricket,2,110,55,65,33
South Carolina,SC,45,Verizon,Visible,2,110,55,50,25
South Dakota,SD,46,Verizon,Visible,2,110,55,50,25
Tennessee,TN,47,AT&T,Cricket,2,110,55,65,33
Texas,TX,48,AT&T,Cricket,2,110,55,65,33
Utah,UT,49,T-Mobile,Mint Mobile,2,180,90,60,30
Vermont,VT,50,Verizon,Visible,2,110,55,50,25
Virginia,VA,51,AT&T,Cricket,2,110,55,65,33
Washington,WA,53,T-Mobile,Mint Mobile,2,180,90,60,30
West Virginia,WV,54,Verizon,Visible,2,110,55,50,25
Wisconsin,WI,55,Verizon,Visible,2,110,55,50,25
Wyoming,WY,56,Verizon,Visible,2,110,55,50,25
Alabama,AL,01,Verizon,Visible,3,120,40,75,25
Alaska,AK,02,Verizon,Visible,3,120,40,75,25
Arizona,AZ,04,T-Mobile,Mint Mobile,3,270,90,90,30
Arkansas,AR,05,Verizon,Visible,3,120,40,75,25
California,CA,06,AT&T,Cricket,3,105,35,90,30
Colorado,CO,08,T-Mobile,Mint Mobile,3,270,90,90,30
Connecticut,CT,09,AT&T,Cricket,3,105,35,90,30
Delaware,DE,10,AT&T,Cricket,3,105,35,90,30
District of Columbia,DC,11,AT&T,Cricket,3,105,35,90,30
Florida,FL,12,T-Mobile,Mint Mobile,3,270,90,90,30
Georgia,GA,13,AT&T,Cricket,3,105,35,90,30
Hawaii,HI,15,Verizon,Visible,3,120,40,75,25
Idaho,ID,16,Verizon,Visible,3,120,40,75,25
Illinois,IL,17,AT&T,Cricket,3,105,35,90,30
Indiana,IN,18,Verizon,Visible,3,120,40,75,25
Iowa,IA,19,Verizon,Visible,3,120,40,75,25
Kansas,KS,20,Verizon,Visible,3,120,40,75,25
Kentucky,KY,21,Verizon,Visible,3,120,40,75,25
Louisiana,LA,22,AT&T,Cricket,3,105,35,90,30
Maine,ME,23,Verizon,Visible,3,120,40,75,25
Maryland,MD,24,AT&T,Cricket,3,105,35,90,30
Massachusetts,MA,25,AT&T,Cricket,3,105,35,90,30
Michigan,MI,26,Verizon,Visible,3,120,40,75,25
Minnesota,MN,27,Verizon,Visible,3,120,40,75,25
Mississippi,MS,28,Verizon,Visible,3,120,40,75,25
Missouri,MO,29,Verizon,Visible,3,120,40,75,25
Montana,MT,30,Verizon,Visible,3,120,40,75,25
Nebraska,NE,31,Verizon,Visible,3,120,40,75,25
Nevada,NV,32,T-Mobile,Mint Mobile,3,270,90,90,30
New Hampshire,NH,33,Verizon,Visible,3,120,40,75,25
New Jersey,NJ,34,AT&T,Cricket,3,105,35,90,30
New Mexico,NM,35,Verizon,Visible,3,120,40,75,25
New York,NY,36,AT&T,Cricket,3,105,35,90,30
North Carolina,NC,37,AT&T,Cricket,3,105,35,90,30
North Dakota,ND,38,Verizon,Visible,3,120,40,75,25
Ohio,OH,39,Verizon,Visible,3,120,40,75,25
Oklahoma,OK,40,Verizon,Visible,3,120,40,75,25
Oregon,OR,41,T-Mobile,Mint Mobile,3,270,90,90,30
Pennsylvania,PA,42,AT&T,Cricket,3,105,35,90,30
Rhode Island,RI,44,AT&T,Cricket,3,105,35,90,30
South Carolina,SC,45,Verizon,Visible,3,120,40,75,25
South Dakota,SD,46,Verizon,Visible,3,120,40,75,25
Tennessee,TN,47,AT&T,Cricket,3,105,35,90,30
